idinfo;smartphonename;price;ram;rom;cpu;cameranumber;camera;selfie;battery;displaysize;ref;cpuclock;displayres;provider;os
90;"Xiaomi Redmi Note 5A Prime";3690000;"3 GB";"32 GB";"Snapdragon 435 8 nhân 64-bit";2;"13 MP";"16 MP";"3080 mAh";"5.5";https://www.thegioididong.com/dtdd/xiaomi-redmi-note-5a-prime;"1.4 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
91;"Huawei Y7 Prime";3690000;"3 GB";"32 GB";"Snapdragon 435 8 nhân 64-bit";2;"12 MP";"8 MP";"4000 mAh";"5.5";https://www.thegioididong.com/dtdd/huawei-y7-prime;"1.4 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
92;"Sony Xperia L1";3590000;"2 GB";"16 GB";"MT6737T, 4 nhân";2;"13 MP";"5 MP";"2620 mAh";"5.5";https://www.thegioididong.com/dtdd/sony-xperia-l1;"1.4 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
93;"Vivo Y55s";3490000;"2 GB";"16 GB";"Qualcomm Snapdragon 425 4 nhân 64-bit";2;"13 MP";"5 MP";"2730 mAh";"5.2";https://www.thegioididong.com/dtdd/vivo-1610-y55s;"1.4 GHz";"HD (720 x 1280 pixels)";TGDD;"Funtouch OS nền tảng Android"
94;"Samsung Galaxy J2 Pro (2018)";3290000;"1.5 GB";"16 GB";"Qualcomm Snapdragon 425 4 nhân 64-bit";2;"8 MP";"5 MP";"2600 mAh";"5";https://www.thegioididong.com/dtdd/samsung-galaxy-j2-pro-2018;"1.4 GHz";"qHD (540 x 960 pixels)";TGDD;"Android Nougat"
95;"OPPO A71k (2018)";3290000;"2 GB";"16 GB";"Qualcomm Snapdragon 450 8 nhân 64-bit";2;"13 MP";"5 MP";"3000 mAh";"5.2";https://www.thegioididong.com/dtdd/oppo-a71-mau-xanh-2018;"1.8 GHz";"HD (720 x 1280 pixels)";TGDD;"ColorOS Android"
96;"Huawei Y6 Prime (2018)";3290000;"2 GB";"16 GB";"Qualcomm Snapdragon 425 4 nhân 64-bit";2;"13 MP";"8 MP";"3000 mAh";"5.7";https://www.thegioididong.com/dtdd/huawei-y6-prime-2018;"1.4 GHz";"HD+ (720 x 1440 Pixels)";TGDD;"Android Oreo"
97;"OPPO A37 (A37fw)";3290000;"2 GB";"16 GB";"Qualcomm Snapdragon 410 4 nhân 64-bit";2;"8 MP";"5 MP";"2630 mAh";"5";https://www.thegioididong.com/dtdd/oppo-a37-a37fw;"1.2 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Lollipop"
98;"Mobiistar Zumbo S2 Dual";3290000;"3 GB";"32 GB";"MT6737T, 4 nhân";3;"13 MP";"13 MP và 8 MP";"3000 mAh";"5.5";https://www.thegioididong.com/dtdd/mobiistar-zumbo-s2-dual;"1.4 GHz";"Full HD (1080 x 1920 pixels)";TGDD;"Android Nougat"
99;"Vivo Y53";3090000;"2 GB";"16 GB";"Qualcomm Snapdragon 425 4 nhân 64-bit";2;"8 MP";"5 MP";"2500 mAh";"5";https://www.thegioididong.com/dtdd/vivo-1606-y53;"1.4 GHz";"qHD (540 x 960 pixels)";TGDD;"Funtouch OS nền tảng Android"
100;"Mobiistar E Selfie";2990000;"2 GB";"16 GB";"MediaTek MT6739 4 nhân 64-bit";2;"13 MP";"13 MP";"3900 mAh";"6.0";https://www.thegioididong.com/dtdd/mobiistar-e-selfie;"1.5 GHz";"HD+ (720 x 1440 Pixels)";TGDD;"Android Nougat"
101;"Nokia 3";2790000;"2 GB";"16 GB";"MT6737 4 nhân";2;"8 MP";"8 MP";"2630 mAh";"5";https://www.thegioididong.com/dtdd/nokia-3;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
102;"Huawei Y5 2017";2790000;"2 GB";"16 GB";"MT6737T, 4 nhân";2;"8 MP";"5 MP";"3000 mAh";"5";https://www.thegioididong.com/dtdd/huawei-y5-2017;"1.4 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Marshmallow"
103;"Philips S329";2790000;"3 GB";"16 GB";"Mediatek MT6750 8 nhân";2;"13 MP";"5 MP";"3000 mAh";"5";https://www.thegioididong.com/dtdd/philips-s329;"1.5 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
104;"Samsung Galaxy J2 Prime";2690000;"1.5 GB";"8 GB";"MT6737 4 nhân";2;"8 MP";"5 MP";"2600 mAh";"5";https://www.thegioididong.com/dtdd/samsung-galaxy-j2-prime;"1.4 GHz";"DVGA (540 x 960 pixels)";TGDD;"Android Marshmallow"
105;"Mobiistar Zumbo S2";2390000;"3 GB";"16 GB";"MT6737T, 4 nhân";2;"13 MP";"13 MP";"3000 mAh";"5.5";https://www.thegioididong.com/dtdd/mobiistar-lai-zumbo-s2;"1.4 GHz";"Full HD (1080 x 1920 pixels)";TGDD;"Android Nougat"
106;"Mobiistar Lai Zumbo S (2017)";2590000;"2 GB";"16 GB";"MT6737 4 nhân";2;"8 MP";"8 MP";"4000 mAh";"5.5";https://www.thegioididong.com/dtdd/mobiistar-zumbo-s-2017;"1.25 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
107;"Motorola Moto C Plus";2590000;"2 GB";"16 GB";"MT6737 4 nhân";2;"8 MP";"2 MP";"4000 mAh";"5";https://www.thegioididong.com/dtdd/motorola-moto-c-plus;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
108;"Asus Zenfone Live ZB501KL";2390000;"2 GB";"16 GB";"Qualcomm Snapdragon 400 4 nhân 32-bit";2;"13 MP";"5 MP";"2650 mAh";"5";https://www.thegioididong.com/dtdd/asus-zenfone-live-zb501kl;"1.4 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Marshmallow"
109;"Mobell Nova P3";2390000;"2 GB";"16 GB";"MT6580 4 nhân 32-bit";2;"8 MP";"8 MP";"3250 mAh";"5.5";https://www.thegioididong.com/dtdd/mobell-nova-p3;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
110;"Philips S327";2390000;"2 GB";"16 GB";"MT6737 4 nhân";2;"8 MP";"5 MP";"3000 mAh";"5.5";https://www.thegioididong.com/dtdd/philips-s327;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
111;"Mobiistar Zumbo J2";2350000;"2 GB";"16 GB";"MT6737 4 nhân";2;"13 MP";"13 MP";"3000 mAh";"5.2";https://www.thegioididong.com/dtdd/mobiistar-zumbo-j2;"1.25 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
112;"Nokia 2";2190000;"1 GB";"8 GB";"Qualcomm Snapdragon 212 4 nhân 32-bit";2;"8 MP";"5 MP";"4100 mAh";"5";https://www.thegioididong.com/dtdd/nokia-2;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
113;"Itel P51";2090000;"1 GB";"16 GB";"MT6580 4 nhân 32-bit";2;"8 MP";"2 MP";"5000 mAh";"5.5";https://www.thegioididong.com/dtdd/itel-p51;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
114;"Mobell Nova F7 Pro";2090000;"2 GB";"16 GB";"MT6580 4 nhân 32-bit";2;"8 MP";"5 MP";"2100 mAh";"5";https://www.thegioididong.com/dtdd/mobell-nova-f7-pro;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Marshmallow"
115;"Mobiistar Lai Zumbo S Lite (2017)";1990000;"1 GB";"8 GB";"MT6737 4 nhân";2;"8 MP";"5 MP";"4000 mAh";"5.5";https://www.thegioididong.com/dtdd/mobiistar-zumbo-s-lite-2017;"1.25 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Nougat"
116;"Itel S31";1990000;"1 GB";"16 GB";"MT6580 4 nhân 32-bit";2;"5 MP";"5 MP";"2400 mAh";"5.5";https://www.thegioididong.com/dtdd/itel-s31;"1.3 GHz";"HD (720 x 1280 pixels)";TGDD;"Android Marshmallow"
117;"Motorola Moto C 4G";1990000;"1 GB";"16 GB";"MT6737 4 nhân";2;"5 MP";"2 MP";"2350 mAh";"5";https://www.thegioididong.com/dtdd/motorola-moto-c-4g;"1.1 GHz";"FWVGA (480 x 854 Pixels)";TGDD;"Android Nougat"
