;smartphonename;price;ram;rom;displaysize;provider;os;cpubrand;camrearpixel;camrearcount;camfrontpixel;camfrontcount;numcpu1;numcpu2;clockcpu1;clockcpu2;displayWidth;displayHeight;brandnew;isPortable
158;0;17.49;3;128;5.5;1;1;1.0;12;2.0;7;1.0;2.0;2.0;2.34;2.34;1080.0;1920.0;1.0;0.0
159;0;18.49;3;256;5.5;1;1;1.0;12;2.0;7;1.0;2.0;2.0;2.34;2.34;1080.0;1920.0;1.0;0.0
160;0;17.29;2;64;4.7;1;1;1.0;12;1.0;7;1.0;2.0;4.0;2.39;2.39;750.0;1334.0;1.0;0.0
161;0;17.09;3;32;5.5;1;1;1.0;12;2.0;7;1.0;2.0;2.0;2.34;2.34;1080.0;1920.0;1.0;0.0
162;0;16.999;3;128;5.5;1;1;1.0;12;2.0;7;1.0;2.0;2.0;2.34;2.34;1080.0;1920.0;1.0;0.0
163;14;16.59;4;64;5.7;1;0;3.0;19;1.0;5;1.0;4.0;4.0;2.8;1.8;1080.0;2160.0;1.0;1.0
164;0;16.29;2;64;4.7;1;1;1.0;12;1.0;7;1.0;2.0;4.0;2.39;2.39;750.0;1334.0;1.0;0.0
165;13;15.99;4;64;5.8;1;0;0.0;12;1.0;8;1.0;4.0;4.0;2.3;1.7;1440.0;2960.0;1.0;1.0
166;16;15.99;8;128;5.99;1;0;3.0;12;1.0;5;1.0;4.0;4.0;2.45;1.9;1080.0;2160.0;1.0;1.0
167;0;14.99;3;32;5.5;1;1;1.0;12;2.0;7;1.0;2.0;2.0;2.34;2.34;1080.0;1920.0;1.0;0.0
168;0;14.79;4;64;10.5;1;1;1.0;12;1.0;7;1.0;3.0;3.0;2.38;2.38;1668.0;2224.0;1.0;0.0
169;14;13.99;4;64;5.46;1;0;3.0;19;1.0;13;1.0;4.0;4.0;2.45;1.9;2160.0;3840.0;1.0;1.0
170;13;13.49;6;64;6.0;1;0;0.0;16;1.0;16;2.0;2.0;6.0;2.2;1.6;1080.0;2220.0;1.0;1.0
171;14;12.999;4;64;5.2;1;0;3.0;19;1.0;13;1.0;4.0;4.0;2.35;1.9;1080.0;1920.0;1.0;1.0
