,Price,Brand,Purpose,Color,gen,CPU,Number of cores,Clock,Cache,OS,Ram,Display Size,Touchable,AddGraphics,VGA Memory,HDD,SSD,Optical Disk,Number Keys,LED,USB Ports,HDMI Ports,LANPorts,VGAPorts,Weight,Cells pin,displayWidth,displayHeight
199,14090000,6,1,3,9,9,2,2.4,3,3,4,14.0,0,7,0,0,256,1,1,0,2,1,1,1,1.8,2,1080.0,1920.0
200,21490000,2,2,4,15,19,4,1.6,6,3,8,14.0,1,7,0,0,256,1,1,0,3,1,0,1,1.25,3,1080.0,1920.0
201,5990000,6,1,5,21,33,2,1.1,2,3,4,11.6,1,7,0,500,0,1,1,0,2,1,0,1,1.26,2,768.0,1366.0
202,10890000,2,2,3,9,9,2,2.4,3,3,4,15.6,1,7,0,1000,0,1,0,0,4,1,0,1,1.7,3,768.0,1366.0
203,11590000,6,1,0,9,10,2,2.7,6,3,4,14.0,0,7,0,500,0,1,1,0,3,1,0,1,1.7,2,768.0,1366.0
204,42990000,5,1,0,17,25,2,2.8,4,3,8,13.3,1,7,0,0,512,1,1,3,2,1,1,1,1.28,3,1080.0,1920.0
205,10140000,2,1,6,9,9,2,2.4,3,3,4,15.6,1,7,0,1000,0,1,0,0,3,1,1,0,1.9,3,768.0,1366.0
206,12990000,5,1,3,9,9,2,2.4,3,3,4,14.0,1,7,0,500,0,1,1,0,3,1,1,1,1.7,3,768.0,1366.0
207,11790000,5,1,0,9,9,2,2.4,3,3,4,14.0,1,7,0,1000,0,1,1,0,3,1,0,1,1.63,3,1080.0,1920.0
208,10989000,0,1,6,14,15,2,2.5,3,3,4,15.6,1,7,0,1000,0,1,0,0,3,1,0,1,2.1,2,768.0,1366.0
209,33490000,3,1,0,18,29,4,1.8,8,3,16,13.3,1,7,0,0,512,1,1,0,4,1,0,1,1.7,3,1080.0,1920.0
210,15690000,2,2,5,15,19,4,1.6,6,3,4,14.0,0,7,0,500,0,1,1,0,3,1,1,1,1.6,3,1080.0,1920.0
211,11790000,6,1,7,15,19,4,1.6,6,3,4,15.6,1,7,0,1000,0,1,0,0,2,1,0,1,2.25,2,1080.0,1920.0
212,14190000,6,1,3,15,19,4,1.6,6,3,4,14.0,1,7,0,1000,0,1,1,0,3,1,0,1,1.7,2,1080.0,1920.0
213,6990000,0,1,6,21,35,2,1.1,2,3,4,15.6,1,7,0,500,0,1,0,0,3,1,0,1,1.35,2,768.0,1366.0
214,27200000,1,2,0,11,11,2,2.2,3,3,8,13.3,1,7,0,1000,0,0,0,0,3,1,0,1,1.35,4,768.0,1366.0
215,9390000,5,1,0,8,7,2,2.0,3,3,4,15.6,1,7,0,1000,0,0,0,0,3,1,0,1,2.0,4,768.0,1366.0
216,9190000,5,1,0,8,7,2,2.0,3,3,4,14.0,1,7,0,500,0,1,1,0,3,1,0,1,1.6,4,768.0,1366.0
217,19190000,5,1,0,18,29,4,1.8,8,3,4,13.3,1,7,0,0,256,1,1,0,2,1,0,0,1.6,3,768.0,1366.0
218,21590000,6,1,3,15,19,4,1.6,6,3,8,13.3,1,7,0,0,256,1,1,0,3,1,0,1,1.8,4,1080.0,1920.0
219,39900000,3,1,0,16,21,2,2.0,45,3,8,13.3,0,7,0,0,256,1,1,0,2,0,1,1,1.3,6,1080.0,1920.0
220,8990000,6,1,6,8,7,2,2.0,3,3,4,14.0,1,7,0,500,0,1,1,0,2,1,0,1,2.1,2,768.0,1366.0
221,46990000,5,1,0,17,25,2,2.8,4,3,8,12.3,0,7,0,0,256,1,1,0,3,0,1,1,0.84,4,1824.0,2736.0
222,12990000,6,1,0,15,19,4,1.6,6,3,4,15.6,1,7,0,1000,0,1,0,0,3,1,0,1,1.8,2,1080.0,1920.0
223,14790000,5,1,3,15,19,4,1.6,6,3,4,15.6,1,12,2,1000,0,0,0,0,3,1,0,1,1.35,3,768.0,1366.0
224,15850000,6,1,6,14,15,2,2.5,3,3,4,15.6,1,12,2,500,0,0,0,0,3,1,0,0,2.3,4,768.0,1366.0
225,22690000,5,1,0,18,29,4,1.8,8,3,8,15.6,1,11,2,1000,0,1,1,0,4,1,0,0,2.1,3,1080.0,1920.0
226,16990000,5,1,0,15,19,4,1.6,6,3,8,14.0,1,7,0,1000,0,1,1,0,3,1,0,0,1.7,3,768.0,1366.0
227,13790000,6,1,5,15,19,4,1.6,6,3,4,15.6,1,23,0,1000,0,1,0,0,3,1,0,1,2.1,2,1080.0,1920.0
228,16290000,5,1,0,15,19,4,1.6,6,3,4,13.3,1,7,0,0,256,1,1,0,3,1,0,1,1.6,3,1080.0,1920.0
229,12590000,5,1,0,9,9,2,2.4,3,3,4,14.0,1,7,0,1000,0,1,1,0,3,1,0,0,1.7,3,768.0,1366.0
230,23990000,0,0,6,17,26,4,2.8,6,3,8,15.6,1,17,2,1000,0,1,0,3,4,1,0,1,2.5,4,768.0,1366.0
231,22490000,2,1,3,15,19,4,1.6,6,3,8,14.0,1,23,2,0,256,1,1,0,3,1,1,1,1.25,3,1080.0,1920.0
232,8790000,0,1,6,8,7,2,2.0,3,3,4,15.6,1,7,0,1000,0,1,1,0,3,1,0,1,2.3,2,768.0,1366.0
233,71500000,1,2,5,17,27,4,2.9,6,3,16,15.4,1,4,4,0,512,1,1,0,4,0,1,1,1.35,6,1800.0,2880.0
234,14990000,6,1,3,9,9,2,2.4,3,3,4,13.3,1,7,0,0,128,1,1,0,2,1,0,1,1.16,4,1080.0,1920.0
235,15500000,6,1,3,15,19,4,1.6,6,3,4,13.3,1,7,0,0,256,1,1,0,2,1,1,1,1.2,3,1080.0,1920.0
236,17290000,5,1,0,15,19,4,1.6,6,3,4,15.6,1,11,2,500,0,1,0,0,4,1,0,0,2.1,3,1080.0,1920.0
237,37490000,5,1,3,18,29,4,1.8,8,3,8,13.3,1,7,0,0,256,1,1,3,1,0,1,1,1.08,4,1080.0,1920.0
